Territory X Date,target
Afghanistan X 5/7/20,113
Afghanistan X 5/8/20,122
Afghanistan X 5/9/20,130
Afghanistan X 5/10/20,141
Afghanistan X 5/11/20,151
Afghanistan X 5/12/20,162
Afghanistan X 5/13/20,175
Albania X 5/7/20,32
Albania X 5/8/20,31
Albania X 5/9/20,31
Albania X 5/10/20,31
Albania X 5/11/20,31
Albania X 5/12/20,31
Albania X 5/13/20,32
Algeria X 5/7/20,481
Algeria X 5/8/20,486
Algeria X 5/9/20,491
Algeria X 5/10/20,497
Algeria X 5/11/20,500
Algeria X 5/12/20,505
Algeria X 5/13/20,512
Andorra X 5/7/20,47
Andorra X 5/8/20,47
Andorra X 5/9/20,48
Andorra X 5/10/20,48
Andorra X 5/11/20,49
Andorra X 5/12/20,49
Andorra X 5/13/20,50
Angola X 5/7/20,2
Angola X 5/8/20,2
Angola X 5/9/20,2
Angola X 5/10/20,2
Angola X 5/11/20,2
Angola X 5/12/20,2
Angola X 5/13/20,2
Antigua and Barbuda X 5/7/20,4
Antigua and Barbuda X 5/8/20,4
Antigua and Barbuda X 5/9/20,4
Antigua and Barbuda X 5/10/20,4
Antigua and Barbuda X 5/11/20,4
Antigua and Barbuda X 5/12/20,3
Antigua and Barbuda X 5/13/20,3
Argentina X 5/7/20,282
Argentina X 5/8/20,292
Argentina X 5/9/20,304
Argentina X 5/10/20,314
Argentina X 5/11/20,325
Argentina X 5/12/20,337
Argentina X 5/13/20,348
Armenia X 5/7/20,41
Armenia X 5/8/20,41
Armenia X 5/9/20,42
Armenia X 5/10/20,42
Armenia X 5/11/20,42
Armenia X 5/12/20,43
Armenia X 5/13/20,43
Aruba X 5/7/20,3
Aruba X 5/8/20,3
Aruba X 5/9/20,3
Aruba X 5/10/20,3
Aruba X 5/11/20,3
Aruba X 5/12/20,3
Aruba X 5/13/20,3
Australia X 5/7/20,96
Australia X 5/8/20,96
Australia X 5/9/20,96
Australia X 5/10/20,97
Australia X 5/11/20,96
Australia X 5/12/20,96
Australia X 5/13/20,96
Austria X 5/7/20,613
Austria X 5/8/20,615
Austria X 5/9/20,619
Austria X 5/10/20,622
Austria X 5/11/20,627
Austria X 5/12/20,630
Austria X 5/13/20,634
Azerbaijan X 5/7/20,29
Azerbaijan X 5/8/20,31
Azerbaijan X 5/9/20,31
Azerbaijan X 5/10/20,32
Azerbaijan X 5/11/20,33
Azerbaijan X 5/12/20,33
Azerbaijan X 5/13/20,34
Bahamas (the) X 5/7/20,12
Bahamas (the) X 5/8/20,12
Bahamas (the) X 5/9/20,12
Bahamas (the) X 5/10/20,12
Bahamas (the) X 5/11/20,12
Bahamas (the) X 5/12/20,12
Bahamas (the) X 5/13/20,12
Bahrain X 5/7/20,9
Bahrain X 5/8/20,8
Bahrain X 5/9/20,8
Bahrain X 5/10/20,9
Bahrain X 5/11/20,9
