Territory X Date,target
Afghanistan X 03/06/20,0
Afghanistan X 03/07/20,0
Afghanistan X 03/08/20,0
Afghanistan X 03/09/20,0
Afghanistan X 03/10/20,0
Afghanistan X 03/11/20,0
Afghanistan X 03/12/20,0
Afghanistan X 03/13/20,0
Afghanistan X 03/14/20,0
Afghanistan X 03/15/20,0
Afghanistan X 03/16/20,0
Afghanistan X 03/17/20,0
Afghanistan X 03/18/20,0
Afghanistan X 03/19/20,0
Afghanistan X 03/20/20,0
Afghanistan X 03/21/20,0
Afghanistan X 03/22/20,0
Afghanistan X 03/23/20,2
Afghanistan X 03/24/20,2
Afghanistan X 03/25/20,2
Afghanistan X 03/26/20,3
Afghanistan X 03/27/20,5
Afghanistan X 03/28/20,5
Afghanistan X 03/29/20,5
Afghanistan X 03/30/20,5
Afghanistan X 03/31/20,5
Afghanistan X 04/01/20,5
Afghanistan X 04/02/20,5
Afghanistan X 04/03/20,7
Afghanistan X 04/04/20,7
Afghanistan X 04/05/20,8
Afghanistan X 04/06/20,8
Afghanistan X 04/07/20,13
Afghanistan X 04/08/20,16
Afghanistan X 04/09/20,16
Afghanistan X 04/10/20,17
Afghanistan X 04/11/20,17
Afghanistan X 04/12/20,20
Afghanistan X 04/13/20,20
Afghanistan X 04/14/20,23
Afghanistan X 04/15/20,26
Afghanistan X 04/16/20,28
Afghanistan X 04/17/20,33
Afghanistan X 04/18/20,33
Afghanistan X 04/19/20,32
Afghanistan X 04/20/20,36
Afghanistan X 04/21/20,40
Afghanistan X 04/22/20,39
Afghanistan X 04/23/20,43
Afghanistan X 04/24/20,46
Afghanistan X 04/25/20,47
Afghanistan X 04/26/20,51
Afghanistan X 04/27/20,55
Afghanistan X 04/28/20,62
Afghanistan X 04/29/20,63
Afghanistan X 04/30/20,64
Afghanistan X 05/01/20,70
Afghanistan X 05/02/20,73
Afghanistan X 05/03/20,78
Afghanistan X 05/04/20,90
Afghanistan X 05/05/20,96
Afghanistan X 05/06/20,103
Afghanistan X 05/07/20,113
Afghanistan X 05/08/20,122
Afghanistan X 05/09/20,130
Afghanistan X 05/10/20,141
Afghanistan X 05/11/20,151
Afghanistan X 05/12/20,162
Afghanistan X 05/13/20,175
Afghanistan X 05/14/20,186
Afghanistan X 05/15/20,202
Afghanistan X 05/16/20,219
Afghanistan X 05/17/20,236
Afghanistan X 05/18/20,254
Afghanistan X 05/19/20,275
Afghanistan X 05/20/20,297
Afghanistan X 05/21/20,323
Afghanistan X 05/22/20,348
Afghanistan X 05/23/20,374
Afghanistan X 05/24/20,402
Afghanistan X 05/25/20,431
Afghanistan X 05/26/20,465
Afghanistan X 05/27/20,501
Afghanistan X 05/28/20,542
Afghanistan X 05/29/20,583
Afghanistan X 05/30/20,629
Afghanistan X 05/31/20,671
Afghanistan X 06/01/20,729
Afghanistan X 06/02/20,789
Afghanistan X 06/03/20,846
Afghanistan X 06/04/20,910
Afghanistan X 06/05/20,977
Afghanistan X 06/06/20,1054
Afghanistan X 06/07/20,1131
Albania X 03/06/20,0
Albania X 03/07/20,0
Albania X 03/08/20,0
Albania X 03/09/20,0
Albania X 03/10/20,0
Albania X 03/11/20,0
Albania X 03/12/20,2
Albania X 03/13/20,2
Albania X 03/14/20,2
Albania X 03/15/20,2
Albania X 03/16/20,2
Albania X 03/17/20,2
Albania X 03/18/20,2
Albania X 03/19/20,3
Albania X 03/20/20,3
Albania X 03/21/20,3
Albania X 03/22/20,3
Albania X 03/23/20,3
Albania X 03/24/20,5
Albania X 03/25/20,6
Albania X 03/26/20,6
Albania X 03/27/20,7
Albania X 03/28/20,9
Albania X 03/29/20,11
Albania X 03/30/20,11
Albania X 03/31/20,12
Albania X 04/01/20,17
Albania X 04/02/20,16
Albania X 04/03/20,17
Albania X 04/04/20,18
Albania X 04/05/20,22
Albania X 04/06/20,21
Albania X 04/07/20,22
Albania X 04/08/20,24
Albania X 04/09/20,23
Albania X 04/10/20,24
Albania X 04/11/20,24
Albania X 04/12/20,24
Albania X 04/13/20,24
Albania X 04/14/20,24
Albania X 04/15/20,25
Albania X 04/16/20,26
Albania X 04/17/20,27
Albania X 04/18/20,27
Albania X 04/19/20,27
Albania X 04/20/20,27
Albania X 04/21/20,27
Albania X 04/22/20,27
Albania X 04/23/20,28
Albania X 04/24/20,28
Albania X 04/25/20,28
Albania X 04/26/20,28
Albania X 04/27/20,29
Albania X 04/28/20,29
Albania X 04/29/20,31
Albania X 04/30/20,31
Albania X 05/01/20,32
